#                                                  FILE       SIZE         cksum         sum  solarissum
                     curseroot.aix5.1.powerpc_v.2.2.0.7     186520    4003638340       58818       34225
                    curseroot.v1.2.0.2.aix5.1_v.1.2.0.1      96293     816171095       18516       14921
                  curseroot.v1.2.0.2.sunos5.8_v.1.2.0.1      56328    1120697341       27207       53347
                   curseroot.v1.2.0.2.mswin32_v.1.2.0.1      86016    3831955783       57092       58718
                           curseroot.sunos5.8_v.1.2.2.9      61908      91720371       30642       60130
                            curseroot.mswin32_v.1.2.2.9      90112    3674847582       02019       56223
                             curseroot.aix5.1_v.1.2.2.9     101741    4212013735       56643       29014
                 curseroot_flx.hpux11.00.risc_v.1.1.0.3     294912    1121890451       23116       52861
                        curseroot.hpuxb.11.00_v.2.0.0.3     143360    3733355325       60984       39977
           curseroot.linux2.6.5-7.97-smp.i686_v.2.2.0.7     156708    2625294666       57226       32834
                     curseroot.hpux11.00.risc_v.2.2.0.7     200704    2946922064       06310       57635
                         curseroot.win2k.i686_v.2.2.0.7     157184     669967646       13502       29530
                     curseroot.sunos5.8.sparc_v.2.2.0.7     180296    3651556126       24857       35687
                curseroot.linux2.6.5-7.97-smp_v.1.2.2.9      60728    1919049662       13932         562
                    cursesalsa.hpux11.00.risc_v.1.0.0.1     180224    3477337387       60490       57830
                          cursesleepy.mswin32_v.1.0.0.5      81920     693236723       15328       26517
                            cursetails.aix5.1_v.1.0.0.1     180276    4044734128       31290       58204
                          cursetingle.aix.5.1_v.1.1.1.1      99925    2516963645       50006        1948
                          cursetingle.mswin32_v.2.0.0.1      98304    3746339119       48113       52565
                         cursetingle.sunos5.8_v.2.0.0.1     137132    1479052110       35756       44597
                          cursetingle.aix.5.1_v.2.0.0.1     180813    2891705692       59684       10363
                           cursetingle.aix5.1_v.2.0.1.1     184593    3105856638       26898       26451
               cursetingle_flx.aix5.1.powerpc_v.1.0.1.3     259141    2828128604       39262       42960
                  cursetingle.2.0.1.2.mswin32_v.2.0.1.1      98304    1876770440       20050       12575
                         cursetingle.sunos5.8_v.2.0.1.1     142392    3826035928       56373       14520
                        cursetingle.sunos.5.9_v.1.0.0.7      55444     986565815       56621       50199
                          cursetingle.mswin32_v.1.0.0.7      81920     467686355       09311       12178
                    cursewham.linuxrh7.3.i686_v.1.1.0.1     129648    4052230338       51775       33743
                         cursewham.win2k.i686_v.1.1.0.1     136192    2405279675       50768       26522
                         cursewham.win2k.i686_v.1.0.0.3     135168    3859843989       24516       31571
                                curseyo.win2k_v.1.0.0.1      64000    1497165595       22488       60014
                   cursezinger_flx.win2k.i686_v.1.0.0.2     262656    3131462353       37427       20791
                            cursezinger.win2k_v.2.0.0.2     155648    1139756440       63461        7620
                       cursezinger.linuxrh7.3_v.2.0.0.2     146512      23087955       55272       41261
                         cursezinger.sunos5.8_v.2.0.0.2     167028     845090707       25277       38441
                       cursezinger.linuxrh7.3_v.1.0.0.1     125880    4253402431       45933       16844
                            cursezinger.win2k_v.1.0.0.1     139264    2191543083       27871       51316
                            cursezinger.win2k_v.1.1.0.3     138240    2382619163       09901         381
                       cursezinger.linuxrh7.3_v.1.1.0.3     117272     756885449       58885       62504
                            cursezinger.win2k_v.1.2.0.1     142336     545843415       57530       59663
                            cursezinger.win2k_v.1.2.1.1     142848    2300782138       03792       58131
                       cursezinger.linuxrh7.3_v.1.2.1.1     117272     991474873       07665       52134
              cursehappy_hpux_v.6.0.0.1_liquidsteel.def      11967     309534018       16427       17184
                cursehappy_hpux_v.6.0.0.1_wholeblue.def      12728    3426441111       04364        8623
               cursehappy_hpux_v.6.0.0.1_serenefire.def      10941    3007513211       24482        6050
            cursehappy_hpux_v.6.0.0.1_shakengiraffe.def      17523    2949704008       58696       22659
            cursehappy_hpux_v.6.0.0.1_coastalvortex.def       8340    1913960233       36854       10125
           cursehappy_hpux_v.6.0.0.1_sloshedgalah_a.def      10212    3894506520       63074        6453
             cursehappy_hpux_v.6.0.0.1_sloshedgalah.def      15848    3676360765       21895       30784
              cursehappy_hpux_v.6.0.0.1_editionhaze.def       9648    1923445065       45307       42332
            cursehappy_hpux_v.6.0.0.1_silenttongues.def      11020    3867892359       22419        8308
               cursehappy_hpux_v.6.0.0.1_sicklestar.def      10007    1773735182       36043       60709
             cursehappy_hpux_v.6.0.0.1_serenecosmos.def      10941    3644008379       30048        6048
               cursehappy_hpux_v.6.0.0.1_diamondaxe.def      10645    3737860963       65119       43836
             cursehappy_hpux_v.6.0.0.1_coastalstorm.def       8186    1678361808       17016       64646
              cursehappy_hpux_v.6.0.0.1_coastalburn.def       8186    1112915560       46098       64629
                  cursehappy_hpux_v.6.0.0.1_darkaxe.def      15605    2431309579       12787       10631
                cursehappy_hpux_v.6.0.0.1_paperfish.def      11441     381502248       06547       40942
     cursehappy_hpux_v.6.0.0.1_darkaxe_moc_mtc_only.def       3964    2001215412       41684       30257
                cursehappy_hpux_v.6.1.0.1_wholeblue.def      12712     415534325       41346        7320
              cursehappy_hpux_v.6.2.0.3_liquidsteel.def      12565    3825121023       43223       63704
                cursehappy_hpux_v.6.2.0.3_wholeblue.def      13309    2626011780       28211       53831
               cursehappy_hpux_v.6.2.0.3_serenefire.def      11539    2737694146       34965       52570
            cursehappy_hpux_v.6.2.0.3_shakengiraffe.def      18166      99790464       01033        6875
            cursehappy_hpux_v.6.2.0.3_coastalvortex.def       8938     167200304       09899       56645
             cursehappy_hpux_v.6.2.0.3_sloshedgalah.def      16446    3469547707       13779       11769
           cursehappy_hpux_v.6.2.0.3_sloshedgalah_a.def      10537     193079961       23265       32065
              cursehappy_hpux_v.6.2.0.3_editionhaze.def      10246    1226832140       10864       23317
            cursehappy_hpux_v.6.2.0.3_silenttongues.def      11617    3525151714       49504       54819
               cursehappy_hpux_v.6.2.0.3_sicklestar.def      10605    2721198962       31219       41694
             cursehappy_hpux_v.6.2.0.3_serenecosmos.def      11539    2732026936       07027       52568
               cursehappy_hpux_v.6.2.0.3_diamondaxe.def      11075     938417711       18722       12486
             cursehappy_hpux_v.6.2.0.3_coastalstorm.def       8784    3730837173       30379       45631
              cursehappy_hpux_v.6.2.0.3_coastalburn.def       8783    3227423186       54047       45605
                  cursehappy_hpux_v.6.2.0.3_darkaxe.def      16203    3385379118       33409       57151
                cursehappy_hpux_v.6.2.0.3_paperfish.def      12251    1972119393       21877       37985
        cursehappy_hpux_11.00_v.5.0.0.5_editionhaze.def       9648    1929737941       12712       42330
      cursehappy_hpux_11.00_v.5.0.0.5_silenttongues.def      11066    3139215691       40687       11543
         cursehappy_hpux_11.00_v.5.0.0.5_sicklestar.def       9913    4260235558       42103       54070
        cursehappy_hpux_11.00_v.5.0.0.5_liquidsteel.def      12013    1879295493       61077       20417
       cursehappy_hpux_11.00_v.5.0.0.5_serenecosmos.def      10987    1678640955       24246        9285
          cursehappy_hpux_11.00_v.5.0.0.5_wholeblue.def      12774     341296418       48222       11853
         cursehappy_hpux_11.00_v.5.0.0.5_serenefire.def      10987    1244429632       05060        9287
         cursehappy_hpux_11.00_v.5.0.0.5_diamondaxe.def      10691    2625290384       56021       47067
       cursehappy_hpux_11.00_v.5.0.0.5_coastalstorm.def       8186    3280967004       59011       64644
        cursehappy_hpux_11.00_v.5.0.0.5_coastalburn.def       8186    3855871972       49089       64627
      cursehappy_hpux_11.00_v.5.0.0.5_shakengiraffe.def      16993    2508929687       04187       50432
            cursehappy_hpux_11.00_v.5.0.0.5_darkaxe.def      14840    1834845399       09531       23752
          cursehappy_hpux_11.00_v.5.0.0.5_paperfish.def      11487    3074356543       49471       44174
       cursehappy-hpux11.11_v.4.1.2.4_silenttongues.def      11066     541471505       51498       11544
         cursehappy-hpux11.11_v.4.1.2.4_editionhaze.def       9648    4150856398       30645       42331
          cursehappy-hpux11.11_v.4.1.2.4_sicklestar.def       9913    3129343639       42448       54071
         cursehappy-hpux11.11_v.4.1.2.4_liquidsteel.def      12013    1012649203       34433       20418
        cursehappy-hpux11.11_v.4.1.2.4_serenecosmos.def      10987    1452568790       21762        9285
           cursehappy-hpux11.11_v.4.1.2.4_wholeblue.def      12774    2240385131       57114       11857
          cursehappy-hpux11.11_v.4.1.2.4_diamondaxe.def      11323     985772421       28395       30778
        cursehappy-hpux11.11_v.4.1.2.4_coastalstorm.def       8186    3316032623       06901       64642
       cursehappy-hpux11.11_v.4.1.2.4_shakengiraffe.def      16983     826384167       39992       49863
             cursehappy-hpux11.11_v.4.1.2.4_darkaxe.def      16198    2349942852       14351       64130
    cursehappy-solaris_v.4.1.0.6_solaris8_wholeblue.def      12803    1967258321       13344       13734
   cursehappy-solaris_v.4.1.0.6_solaris8_diamondaxe.def      11274     585588577       60600       27086
               cursehappy-solaris_v.4.0_editionhaze.def      10434    3554712859       32534       37466
             cursehappy-solaris_v.4.0_silenttongues.def      12144     264840104       54467       29109
                cursehappy-solaris_v.4.0_sicklestar.def      10205    3173803460       28487       10738
               cursehappy-solaris_v.4.0_liquidsteel.def      13829     840044669       02409       30364
              cursehappy-solaris_v.4.0_serenecosmos.def      12250    4094378744       49051       42334
                 cursehappy-solaris_v.4.0_wholeblue.def      15088    1685878040       36262       59942
             cursehappy-solaris_v.4.0_shakengiraffe.def      19604    1586877344       42208       57145
               cursemagic_aix_v.2.1.0.3_editionhaze.def      19068     293137546       57086       11649
              cursemagic_aix_v.2.1.0.3_serenecosmos.def      19068     568891456       62123       11269
                 cursemagic_aix_v.2.1.0.3_wholeblue.def      19068    2143614061       20591       13474
                cursemagic_aix_v.2.1.0.3_diamondaxe.def      19068    2243265220       55285       12135
              cursemagic_aix_v.2.1.0.3_vocalcottage.def      19068    1652436036       33716        8068
               cursemagic_aix_v.2.1.0.3_coastalburn.def      19068    4170399546       38287        9208
             cursemagic_aix_v.2.1.0.3_stirredgibbon.def      19068    3152820175       27007        6817
              cursemagic_aix_v.2.1.0.3_sloshedgalah.def      19068    3708590838       62213       12496
                   cursemagic_aix_v.2.1.0.3_darkaxe.def      19068    3856168464       22746       12055
                 cursemagic_aix_v.2.1.0.3_fiestarun.def      19068    1000292990       34572        8483
                 cursemagic_aix_v.2.1.0.3_ironglass.def      19068    3919271234       64417       12120
                 cursemagic_aix_v.2.1.0.3_paperfish.def      19068    2254027079       57731       12291
              cursemagic_hpux_v.2.0.1.1_editionhaze.def      18096    1849204005       28277       65264
             cursemagic_hpux_v.2.0.1.1_serenecosmos.def      18096     158638522       17915         443
                cursemagic_hpux_v.2.0.1.1_wholeblue.def      18096    1720191625       12684       61346
               cursemagic_hpux_v.2.0.1.1_diamondaxe.def      18096     952621241       60970         872
             cursemagic_hpux_v.2.0.1.1_vocalcottage.def      18096    1283902548       11029       64435
            cursemagic_hpux_v.2.0.1.1_stirredgibbon.def      18096     439533862       15579       61691
              cursemagic_hpux_v.2.0.1.1_coastalburn.def      18096    2421865852       12728        1553
             cursemagic_hpux_v.2.0.1.1_sloshedgalah.def      18096    2743407331       39159         883
                cursemagic_hpux_v.2.0.1.1_fiestarun.def      18096    3273295174       00154         844
                cursemagic_hpux_v.2.0.1.1_ironglass.def      18096    2057256634       09211        3267
                cursemagic_hpux_v.2.0.1.1_paperfish.def      18096    4252347543       62831         884
          cursezinger_solaris_v.2.0.0.2_serenemount.def      30756    3415555040       38083       15917
           cursezinger_solaris_v.2.0.0.2_sicklestar.def      30756    2345864788       54434        7191
             cursezinger_solaris_v.2.0.0.2_mossyoak.def      30756    2807106177       38851       15916
          cursezinger_solaris_v.2.0.0.2_spamjavelin.def      30756    1959233719       02824       40894
         cursezinger_solaris_v.2.0.0.2_sloshedgalah.def      30756    2279972886       20001       64735
        cursezinger_solaris_v.2.0.0.2_doublearsenal.def      30756    4090681982       54690        7192
                 cursebingo.v2.0.0.3.sunos5.8_v.solaris     142932     225323094       50042       18422
        curseclash.v1.0.0.3.aix5.1.powerpc_v.superceded     189316    1333771125       32532       22177
                     cursehole.v1.1.0.3.aix5.1_v.aix_51      92969    2417323214       09132       30252
                     cursehole.v1.1.1.1.aix5.1_v.aix_51      97757    4012898249       57748        4964
   cursetingle_flx.v1.0.0.9.aix5.1.powerpc_v.superceded     251489     776515953       47413       27090
        cursehappy.v4.1.2.4.sunos5.8_v.4.1.2.4_solaris8    1523256    2933352913       27477       59239
                cursehole.v1.0.0.6.sunos5.9_v.solaris_9      49376    4126741311       00489         956
                    cursehummer.hp-uxb.11.11_v.1.0.0.11      69632    1504796841       12511       29697
                           curselion.aix.5.1_v.1.0.0.10      91289    1580474347       15532       54401
                             curserazor.sunos5.10_v.1.1      37208    2992845755       52693       65440
         curseroot.v1.1.0.3.sunos5.8_v.1.1.0.3_solaris8      60792      44987521       37761       31907
         curseroot.v1.1.0.3.sunos5.9_v.1.1.0.3_solaris9      66144    1404334531       27434       55095
       dampcrowd.i686-pc-linux-gnu-redhat-5.0_v.2.0.0.1       3220    3904151856       62383       39500
             dampcrowd.sparc-sun-solaris2.5.1_v.2.0.0.1       4632      60192895       59397       48457
                 dampcrowd.i386-pc-solaris2.6_v.2.0.0.1       3736    1794953451       29366        9004
                     dampcrowd.powerpc-aix3.4_v.2.0.0.2       3143    2059792591       31598        9012
                         dampcrowd.pa-risc1.1_v.2.0.1.1      16384    2584211350       23463       27354
                                deepfryer.php_v.2.1.0.1       9362    3742765313       06565       37747
                        enemyrun.hp-uxb.11.00_v.2.3.1.3      81920    3474769018       58047       45631
                            enemyrun.sunos5.8_v.2.3.1.3      76288     112800950       29544       11553
                        enemyrun.hp-uxb.11.11_v.2.3.2.2      86016    3855243332       38339       35954
                           enemyrun.sunos5.10_v.3.0.0.1     102140     195662001       23056       63902
                        enemyrun.hp-uxb.11.00_v.3.0.0.1      98304    4135520224       05301       12010
                            enemyrun.sunos5.8_v.3.0.0.1     102124    4239123439       62495       10807
                            enemyrun.sunos5.9_v.3.0.0.1     102348    1306510493       45542       30066
                        enemyrun.hp-uxb.11.11_v.3.0.0.1      98304    1925453674       12376       39549
                enemyrun.linux2.4.21-37.elsmp_v.3.1.1.4      96128    1495089507       56908       35756
                            enemyrun.sunos5.8_v.3.1.1.4     125732    2964449093       50280       48621
                        enemyrun.hp-uxb.11.00_v.3.1.1.4     122880    1359899754       37580       50950
                    enemyrun.linuxrhl7.3.i686_v.3.2.0.1     100748     548764427       37332          52
                      enemyrun.sunos5.8.sparc_v.3.2.0.1     125932    4199346901       57697       23066
                       enemyrun.sunos5.8.i386_v.3.2.0.1     103480     467581597       57683       59336
                    enemyrun.linuxrhe3.6.i686_v.3.2.0.1      96000    3987012891       14191       19704
                    enemyrun.hpux11.00.parisc_v.3.2.0.1     122880    1298342391       62423       31099
                            enemyrun.sunos5.8_v.4.0.0.5     247300    3177778343       13495       26331
                           enemyrun.hpux11.00_v.4.0.0.5     262144    1926578269       09648       63946
                         enemyrun.linuxrhe3.6_v.4.0.0.5     187440    3094616716       62935       33784
                       enemyrun.sunos5.8.i386_v.4.0.0.5     248056    3974196642       48504       10837
                          enemyrun.linuxrh7.3_v.4.0.0.5     191268    4200784184       11041       52133
                           enemyrun.hpux11.00_v.4.0.1.2     266240    3996943980       63730       37023
                         enemyrun.linuxrhe3.6_v.4.0.1.2     191884    2727046206       21612       17426
                       enemyrun.sunos5.8.i386_v.4.0.1.2     251508    1617290894       42605       46413
                          enemyrun.linuxrh7.3_v.4.0.1.2     195992    1526794153       18101       17592
                            enemyrun.sunos5.8_v.4.0.1.2     253140     813274482       19935       16838
                enemyrun.linux2.4.21-37.elsmp_v.3.1.0.2      89824    1008510950       30150       54370
                              enemyrun.rhl7.3_v.3.1.1.5     100524    2799309865       04067       47832
                            enemyrun.hp-uxb.11.00_v.2.0      81920    1895622567       12109       27126
                                enemyrun.sunos5.8_v.2.0      72464    1892367427       31269       56046
                                enemyrun.sunos5.9_v.2.0      72728     546621835       46772       12395
                            enemyrun.hp-uxb.11.11_v.2.0      81920    2449355597       24282       63011
                                enemyrun.sunos5.8_v.2.2      74820     823082180       17934       24756
    enemyrun.v2.3.2.2.hp-uxb.11.00_v.2.3.2.2_hp-ux_11.0      90112     459051398       47042       63683
       enemyrun.v2.3.2.2.sunos5.10_v.2.3.2.2_solaris_10      79908    3451483656       42697       60572
         enemyrun.v2.3.2.2.sunos5.8_v.2.3.2.2_solaris_8      79852    1069599440       28661       57815
         enemyrun.v2.3.2.2.sunos5.9_v.2.3.2.2_solaris_9      80076    1194779291       50548       11512
                                enemyrun.sunos5.8_v.2.3      74988     668917919       63533       23729
